material;prefix;p1;m1;p2;m2;p3;m3;p4;m4;p5;m5;postfix
6 МФx18x4 ix18x4,;;6 МФ;;18;;4 i;;18;;4,;;
(6MF ULTRA+#2-18-8Stratobel 44.2);;6MF ULTRA+#2;;18;;8Stratobel 44.2;;;;;;
(6MF ULTRA+#2-20-6М1);;6MF ULTRA+#2;;20;;6М1;;;;;;
СП24 (4-16-4);СП24;4;4GO;16;;4;4GO;;;;;
СП56 (10MultiComfortNeutral66/43+zak-14-8-16-8zak);СП56;10MultiComfortNeutral66/43+zak;;14;;8;;16;;8zak;;
СП46 (6MultiComfortNeutral66/43+zak-16-4-14-3.1.3);СП46;6MultiComfortNeutral66/43+zak;;16;;4;4GO;14;;3.1.3;;
СПД 48 (6з.-16-4М1-16-И6);СПД 48;6з.;;16;;4М1;;16;;И6;;
СПД 56 (8з.-16-8М1-16-И8);СПД 56;8з.;;16;;8М1;;16;;И8;;
СПД 50 (6MF Neutral-16Cr9005-И6-16Cr9005-6M1);СПД 50;6MF Neutral;;16Cr9005;;И6;;16Cr9005;;6M1;;
СПД 40 (6MF Neutral-12Cr9005-И4-12Cr9005-6M1);СПД 40;6MF Neutral;;12Cr9005;;И4;;12Cr9005;;6M1;;
СПД 50 (8MF Neutral-14Cr9005-И6-14Cr9005-8M1);СПД 50;8MF Neutral;;14Cr9005;;И6;;14Cr9005;;8M1;;
(6MF ULTRA+#2-18-8Stratobel 44.2);;6MF ULTRA+#2;;18;;8Stratobel 44.2;;;;;;
(6MF ULTRA+#2-20-6М1);;6MF ULTRA+#2;;20;;6М1;;;;;;
СП40 (4-14-4-14-4top) рамка WarmexPro9005;СП40;4;4GO;14;;4;4GO;14;;4top;test;рамка WarmexPro9005
СП40 (4-14-4-14-4top) рамка WarmexPro7035;СП40;4;4GO;14;;4;4GO;14;;4top;test;рамка WarmexPro7035
СП40 (4Ecobalance-14-4-14-4) рамка WarmexPro9005;СП40;4Ecobalance;;14;;4;4GO;14;;4;4GO;рамка WarmexPro9005
СПД 50 6SGTemp LartaPro HP Neutral 60/40 - 18 (WР.9005.черн) Ar - 4SGTemp М1 - 18 (WР.9005.черн) Ar - 4SGTemp М1;СПД 50;6SGTemp LartaPro HP Neutral 60/40;;18 (WР.9005.черн) Ar;;4SGTemp М1;;18 (WР.9005.черн) Ar;;4SGTemp М1;;
СПД 50 6SGTemp LartaPro HP Neutral 60/40 - 18 (WР.9005.черн) Ar - 4SGTemp М1 - 18 (WР.9005.черн) Ar - 4SGTemp М1 Нест.;СПД 50;6SGTemp LartaPro HP Neutral 60/40;;18 (WР.9005.черн) Ar;;4SGTemp М1;;18 (WР.9005.черн) Ar;;4SGTemp М1 Нест.;;
СПД 50 8SGTemp LartaPro HP Neutral 60/40 - 16 (WР.9005.черн) Ar - 6SGTemp М1 - 14 (WР.9005.черн) Ar - 6SGTemp М1;СПД 50;8SGTemp LartaPro HP Neutral 60/40;;16 (WР.9005.черн) Ar;;6SGTemp М1;;14 (WР.9005.черн) Ar;;6SGTemp М1;;
6Temp;;6Temp;;;;;;;;;;
Триплекс 4+1+4 закаленное;;Триплекс 4;;1;;4 закаленное;;;;;;
СП40 (ЗП+4top-14-4-14-4top+ЗП) корп.(ЖК Счастливый квартал);СП40;ЗП+4top;;14;;4;4GO;14;;4top+ЗП;;корп.(ЖК Счастливый квартал)
СП40 (ЗП+4top-12-4-14-6top+zak+ЗП) корп.(ЖК Счастливый квартал);СП40;ЗП+4top;;12;;4;4GO;14;;6top+zak+ЗП;;корп.(ЖК Счастливый квартал)
СП24 (4-16-4);СП24;4;4GO;16;;4;4GO;;;;;
СПД40 (4М1-14Ar-4М1-14Ar-И4зак);СПД40;4М1;;14Ar;;4М1;;14Ar;;И4зак;;
8зак.LartaPro SE Neutral 70/8М1зак/2;;8зак.LartaPro SE Neutral 70/8М1зак/2;;;;;;;;;;
6Temp;;6Temp;;;;;;;;;;
СПД 40мм (6 MF Neutral - 14 - 4М1 - 12 - 4М1);СПД 40мм;6 MF Neutral;;14;;4М1;;12;;4М1;;
СПД 40мм (6 MF Neutral Зак. - 14 - 4М1 Зак. - 12 - 6 SG COL Ral 7031);СПД 40мм;6 MF Neutral Зак.;;14;;4М1 Зак.;;12;;6 SG COL Ral 7031;;
СПД 40мм (6 MF Neutral Зак. - 14 - 4М1 Зак. - 12 - 4М1 Зак.);СПД 40мм;6 MF Neutral Зак.;;14;;4М1 Зак.;;12;;4М1 Зак.;;
СП52 (6LPSENeutral70+zak-20-4zak-18-4top+zak) +Герметик Finotech 8000 WP9005;СП52;6LPSENeutral70+zak;;20;;4zak;;18;;4top+zak;;+Герметик Finotech 8000 WP9005
СП52 (8LartaProSENeutral70+zak-16-6-16-6top) рамка WarmexPro9005;СП52;8LartaProSENeutral70+zak;;16;;6;6MTP;16;;6top;;рамка WarmexPro9005
СП52 (6LartaProSENeutral70+zak-20-4-18-4top) рамка WarmexPro9005;СП52;6LartaProSENeutral70+zak;;20;;4;4GO;18;;4top;test;рамка WarmexPro9005
СПД 40 мм MF Neutral 6мм + притупка кромок всех стекол;СПД 40 мм;MF Neutral 6мм;;;;;;;;;;притупка кромок всех стекол
СПД 40 мм MF Neutral 4мм;СПД 40 мм;MF Neutral 4мм;;;;;;;;;;
СП40 (4EcoBalance-14-4-14-4top);СП40;4EcoBalance;;14;;4;4GO;14;;4top;test;
6М1зак.;;6М1зак.;;;;;;;;;;
СПО 24мм (6М1зак.-12-6М1зак.);СПО 24мм;6М1зак.;;12;;6М1зак.;;;;;;
СПД 40мм (4-14-4-14-4);СПД 40мм;4;4GO;14;;4;4GO;14;;4;4GO;
СПД 40мм (4-14-4-14-4) НФ;СПД 40мм;4;4GO;14;;4;4GO;14;;4;4GO;НФ
СПД 32мм (4-10-4-10-4);СПД 32мм;4;4GO;10;;4;4GO;10;;4;4GO;
(6MF ULTRA+#2-18-8Stratobel 44.2);;6MF ULTRA+#2;;18;;8Stratobel 44.2;;;;;;
(6MF ULTRA+#2-20-6М1);;6MF ULTRA+#2;;20;;6М1;;;;;;
6М1зак.;;6М1зак.;;;;;;;;;;
СПО 24мм (6М1зак.-12-6М1зак.);СПО 24мм;6М1зак.;;12;;6М1зак.;;;;;;
"6Larta Pro Home Balance;СнФ-12-4М1;СнФ-14-И4;СнФ";;"6Larta Pro Home Balance;СнФ";;12;;"4М1;СнФ";;14;;"И4;СнФ";;
Стекло 4зак;;Стекло 4зак;;;;;;;;;;
Стекло 4Изак;;Стекло 4Изак;;;;;;;;;;
СПО24мм - 6зак-12ПВХ(черн)-6зак;СПО24мм;6зак;;12ПВХ(черн);;6зак;;;;;;
40 (4-14-4-14-4);40;4;4GO;14;;4;4GO;14;;4;4GO;
6Temp;;6Temp;;;;;;;;;;
СП40 (4-14-4-14-4top) рамка WarmexPro7035;СП40;4;4GO;14;;4;4GO;14;;4top;test;рамка WarmexPro7035
СП40 (4.1.4EcoBalance-12-5-10-4top) рамка WarmexPro7035;СП40;4.1.4EcoBalance;;12;;5;;10;;4top;test;рамка WarmexPro7035
СПД 50мм (6М1 Зак - 16Ar Черн.- И6 Зак -16Ar Черн.- И6 Зак);СПД 50мм;6М1 Зак;;16Ar Черн.;;И6 Зак;;16Ar Черн.;;И6 Зак;;
СПД 62мм (10М1 Зак - 18Ar Черн.- И8 Зак -18Ar Черн.- И8 Зак) см. эскизы;СПД 62мм;10М1 Зак;;18Ar Черн.;;И8 Зак;;18Ar Черн.;;И8 Зак;;см. эскизы
СПД 62мм (10М1 Зак - 18Ar Черн.- И8 Зак -18Ar Черн.- И8 Зак);СПД 62мм;10М1 Зак;;18Ar Черн.;;И8 Зак;;18Ar Черн.;;И8 Зак;;
СП40 (4-14-4-14-4top) рамка WarmexPro9005;СП40;4;4GO;14;;4;4GO;14;;4top;test;рамка WarmexPro9005
СП40 (6-14-4-12-4top);СП40;6;6MTP;14;;4;4GO;12;;4top;test;
"6М1 зак-16-6М1;СнФ-16-И6;СнФ";;6М1 зак;;16;;"6М1;СнФ";;16;;"И6;СнФ";;
"6М1;СнФ-14-6М1;СнФ-14-И6;СнФ";;"6М1;СнФ";;14;;"6М1;СнФ";;14;;"И6;СнФ";;
Стекло Триплекс 9мм (4.1.4);;Стекло Триплекс 9мм (4.1.4);;;;;;;;;;
СПД (40) 4М1-14Ar-4М1-14Ar-И4;СПД (40);4М1;;14Ar;;4М1;;14Ar;;И4;;
СПО (24) 4м1-16-4м1;СПО (24);4м1;;16;;4м1;;;;;;
СП24 (4-16-4);СП24;4;4GO;16;;4;4GO;;;;;
СПО24мм - 6зак-12ПВХ(черн)-6зак;СПО24мм;6зак;;12ПВХ(черн);;6зак;;;;;;
Стекло 10мм закаленное Planibel Bronze ЕВРОКРОМКА;;Стекло 10мм закаленное Planibel Bronze ЕВРОКРОМКА;;;;;;;;;;
Стекло 6мм закаленное Planibel Bronze ЕВРОКРОМКА;;Стекло 6мм закаленное Planibel Bronze ЕВРОКРОМКА;;;;;;;;;;
СПО 24мм (6М1зак.-12-6М1зак.);СПО 24мм;6М1зак.;;12;;6М1зак.;;;;;;
